类别,省,市,县,公司简称,行政区划,公司全名,行业,员工人数,总市值(亿),股票代码,注册地,办公地,官网,成立日期,上市日期
深创业板,广东省,深圳市,光明区,蓝海华腾,440311,深圳市蓝海华腾技术股份有限公司,自动化设备,411,38.25,300484,广东省深圳市光明区玉塘街道田寮社区根玉路与田寮路交汇处东南侧二号楼801(一照多址企业),广东省深圳市光明区玉塘街道田寮社区根玉路与田寮路交汇处东南侧二号楼801,www.v-t.net.cn,2/4/2006,3/22/2016
深创业板,北京市,市辖区,大兴区,赛升药业,110115,北京赛升药业股份有限公司,生物制品,513,37.81,300485,北京市大兴区北京经济技术开发区兴盛街8号,北京市大兴区北京经济技术开发区兴盛街8号,www.ssyy.com.cn,5/19/1999,6/26/2015
深创业板,山西省,太原市,尖草坪区,东杰智能,140108,东杰智能科技集团股份有限公司,自动化设备,476,26.78,300486,山西省太原市尖草坪区中北高新技术产业开发区丰源路59号,山西省太原市尖草坪区中北高新技术产业开发区丰源路59号,www.omhgroup.com,12/13/1995,6/30/2015
深创业板,陕西省,西安市,雁塔区,蓝晓科技,610113,西安蓝晓科技新材料股份有限公司,塑料制品,1579,227.18,300487,陕西省西安市雁塔区高新区锦业路135号,陕西省西安市雁塔区高新区锦业路135号,www.sunresin.com,4/4/2001,7/2/2015
深创业板,浙江省,嘉兴市,海盐县,恒锋工具,330424,恒锋工具股份有限公司,通用设备,901,56.58,300488,浙江省嘉兴市海盐县武原街道海兴东路68号,浙江省嘉兴市海盐县武原街道海兴东路68号,www.esttools.com,7/16/1997,7/1/2015
深创业板,黑龙江省,哈尔滨市,平房区,光智科技,230108,光智科技股份有限公司,光学光电子,2206,60.62,300489,黑龙江省哈尔滨市平房区哈南工业新城核心区哈南第八大道5号,黑龙江省哈尔滨市平房区哈南工业新城核心区哈南第八大道5号,www.votinfrared.com,7/18/2006,7/1/2015
深创业板,湖南省,长沙市,岳麓区,华自科技,430104,华自科技股份有限公司,其他电源设备,2194,29.02,300490,湖南省长沙市岳麓区高新开发区麓谷麓松路609号,湖南省长沙市岳麓区高新开发区麓谷麓松路609号,www.cshnac.com,9/24/2009,12/31/2015
深创业板,河北省,石家庄市,裕华区,通合科技,130108,石家庄通合电子科技股份有限公司,其他电源设备,1463,28.53,300491,河北省石家庄市裕华区高新区漓江道350号,河北省石家庄市裕华区高新区漓江道350号,www.sjzthdz.com,12/20/1998,12/31/2015
深创业板,四川省,成都市,锦江区,华图山鼎,510104,华图山鼎设计股份有限公司,建筑装饰,9949,126.9,300492,四川省成都市锦江区东大街芷泉段6号1栋1单元37层8号,四川省成都市锦江区东大街芷泉段6号1栋1单元37层,www.cendes-arch.com,2/12/2003,12/23/2015
深创业板,上海市,市辖区,徐汇区,润欣科技,310104,上海润欣科技股份有限公司,其他电子,198,100.82,300493,上海市徐汇区田林路200号A号楼301室,上海市徐汇区田林路200号A号楼301室,www.fortune-co.com,10/8/2000,12/10/2015
深创业板,湖北省,武汉市,江夏区,盛天网络,420115,湖北盛天网络技术股份有限公司,游戏,692,53.86,300494,湖北省武汉市江夏区东湖新技术开发区光谷大道77号金融港B7栋9-11楼,湖北省武汉市江夏区东湖新技术开发区光谷大道77号金融港B7栋9-11楼,www.shengtian.com,11/23/2009,12/31/2015
