公司简称,全称,行业,销售额,利润(万元),利润率,市,区县,
宁波建工,宁波建工股份有限公司,建筑施工,973245,22244,2.30%,宁波市,江东区,浙江省宁波市江东区宁穿路538号
天夏智慧,天夏智慧城市科技股份有限公司,软件与计算机服务,44889,21817,48.60%,杭州市,滨江区,浙江省杭州市滨江区六和路368号1幢北四楼A4068室
银都股份,银都餐饮设备股份有限公司,商业辅助服务,104049,21608,20.80%,杭州市,余杭区,浙江省杭州市余杭区星桥街道星星路1号
双环传动,浙江双环传动机械股份有限公司,工业机械,183995,21392,11.60%,杭州市,西湖区,浙江省杭州市西湖区古墩路702号赞宇大厦12楼
晋亿实业,晋亿实业股份有限公司,工业机械,211124,21304,10.10%,嘉兴市,嘉善县,浙江省嘉兴市嘉善经济开发区晋亿大道8号
喜临门,喜临门家具股份有限公司,家具,204742,21212,10.40%,绍兴市,越城区,浙江省绍兴市越城区灵芝镇二环北路1号
浙江美大,浙江美大实业股份有限公司,耐用消费品,65510,20878,31.90%,嘉兴市,海宁市,浙江省海宁市袁花镇谈桥81号(海宁市东西大道60KM)
新澳股份,浙江新澳纺织股份有限公司,服装与服饰,184013,20867,11.30%,嘉兴市,桐乡市,浙江省桐乡市崇福镇观庄桥
太平鸟,宁波太平鸟时尚服饰股份有限公司,服装与服饰,431280,20768,4.80%,宁波市,海曙区,浙江省宁波市海曙环城西路南段826号
浙江富润,浙江富润股份有限公司,服装与服饰,135694,20454,15.10%,绍兴市,诸暨市,浙江省诸暨市陶朱南路12号
美康生物,美康生物科技股份有限公司,制药,118863,20343,17.10%,宁波市,鄞州区,浙江省宁波市鄞州区启明南路299号
金卡智能,金卡智能集团股份有限公司,工业机械,96995,20301,20.90%,杭州市,江干区,浙江省杭州经济技术开发区金乔街158号
思美传媒,思美传媒股份有限公司,媒介代理,301633,20279,6.70%,杭州市,上城区,浙江省杭州市南复路59号
日月股份,日月重工股份有限公司,工业机械,133196,20231,15.20%,宁波市,鄞州区,浙江省宁波市鄞州区东吴镇北村村
广宇集团,广宇集团股份有限公司,不动产投资开发,256168,20160,7.90%,杭州市,上城区,浙江省杭州市平海路8号
浙江永强,浙江永强集团股份有限公司,家具,305039,20140,6.60%,台州市,临海市,浙江省临海市前江南路1号
贝达药业,贝达药业股份有限公司,制药,76828,20008,26.00%,杭州市,余杭区,浙江省杭州市余杭经济技术开发区红丰路589号
英特集团,浙江英特集团股份有限公司,药品零售,1393504,19812,1.40%,杭州市,滨江区,浙江省杭州市滨江区江南大道96号?中化大厦
恒林股份,浙江恒林椅业股份有限公司,家具,142554,19423,13.60%,湖州市,安吉县,浙江省安吉县递铺街道夹溪路378、380号
腾达建设,腾达建设集团股份有限公司,建筑施工,230045,19216,8.40%,台州市,路桥区,浙江省台州市路桥区路桥大道东1号
仙琚制药,浙江仙琚制药股份有限公司,制药,198879,18687,9.40%,台州市,仙居县,浙江省仙居县仙药路1号
宁波高发,宁波高发汽车控制系统股份有限公司,汽车,85974,18519,21.50%,宁波市,鄞州区,浙江省宁波市鄞州投资创业中心（下应北路717号）
旭升股份,宁波旭升汽车技术股份有限公司,汽车零配件（IV）,53789,18423,34.30%,宁波市,北仑区,浙江省宁波市北仑区沿山河北路68号
普洛药业,普洛药业股份有限公司,制药,397425,18334,4.60%,金华市,东阳市,浙江省东阳市横店江南路333号
理工环科,宁波理工环境能源科技股份有限公司,电子电气组件与设备,49518,17929,36.20%,宁波市,保税区,浙江省宁波市保税区曹娥江路22号
大丰实业,浙江大丰实业股份有限公司,电子设备,113093,17331,15.30%,宁波市,余姚市,浙江省余姚市阳明科技工业园区新建北路737号
我武生物,浙江我武生物科技股份有限公司,医药与生物科技,29362,17292,58.90%,湖州市,德清县,浙江省湖州市德清县武康镇志远北路636号
金字火腿,金字火腿股份有限公司,食品生产（IV）,29155,17283,59.30%,金华市,金东区,浙江省金华市工业园区金帆街1000号
亚太药业,浙江亚太药业股份有限公司,制药,82448,17136,20.80%,绍兴市,绍兴县,浙江省绍兴市云集路1152号
得邦照明,横店集团得邦照明股份有限公司,电子与电气设备,304390,16992,5.60%,金华市,东阳市,浙江省东阳市横店工业区
新界泵业,浙江新界泵业股份有限公司,工业机械,108962,16980,15.60%,台州市,温岭市,浙江省温岭市大溪镇大洋城工业区
华铁科技,浙江华铁建筑安全科技股份有限公司,建筑施工,50398,16963,33.70%,杭州市,江干区,浙江省杭州市江干区九盛路9号A05幢4层
莎普爱思,浙江莎普爱思药业股份有限公司,制药,70260,16952,24.10%,嘉兴市,平湖市,浙江省平湖市经济开发区新明路1588号
中亚股份,杭州中亚机械股份有限公司,工业机械,50375,16436,32.60%,杭州市,拱墅区,浙江省杭州市拱墅区方家埭路189号
浙江医药,浙江医药股份有限公司,制药,391830,16417,4.20%,绍兴市,上虞市,浙江省绍兴市滨海新城马欢路398号科创园A楼（综合楼）3层
兆丰股份,浙江兆丰机电股份有限公司,汽车零配件（IV）,46228,16198,35.00%,杭州市,萧山区,浙江省杭州市萧山经济技术开发区桥南区块兆丰路6号
浙商中拓,浙商中拓集团股份有限公司,综合供应商,3309676,16008,0.50%,杭州市,下城区,浙江省杭州市下城区文晖路303号浙江交通集团大厦
宁波海运,宁波海运股份有限公司,水上运输,117688,15910,13.50%,宁波市,江北区,浙江省宁波市北岸财富中心1幢
