品牌,商场名,地址,开店日期
永辉,石家庄市 平山店,河北省石家庄市平山县冶河东路(平光大街),2014-12-20
永辉,朝阳区 龙湖长楹天街店,北京市朝阳区朝阳北路(管庄路口)龙湖长楹天街,2014-12-20
永辉,成都市 凯德天府店,四川省成都市天仁路388号凯德天府中心,2014-12-12
永辉,温州市 平阳万达店,浙江省温州市平阳县鳌江镇江滨中央商务区平阳万达广场,2014-12-06
永辉,福州市 福清万达店,福建省福清市清宏路镇万达广场,2014-12-05
永辉,绍兴市 金帝银泰城店,浙江省绍兴市解放南路银泰城负一层,2014-12-05
永辉,淮南市 朝阳中路店,安徽省淮南市田家庵区朝阳中路40号新世界生活休闲广场负一楼,2014-12-03
永辉,通州区 通州万达店,北京市通州区永顺镇北苑商务区万达广场,2014-11-29
永辉,江北区 国奥村店,重庆市江北区北滨路国奥村,2014-11-27
永辉,长春市 临河街店,吉林省长春市净月区南环城路（临河街）力旺塞歌维亚,2014-11-26
永辉,龙岩市 龙岩万达店,福建省龙岩市新罗区双龙路1号龙岩万达广场,2014-11-07
永辉,福州市 红星苑店,福建省福州市台江区鳌峰路10号（连江中路口）鳌峰广场,2014-11-06
永辉,石家庄市 怀特店,河北省石家庄市槐安路(富强大街)怀特商业广场,2014-11-01
永辉,盐城市 中南城店,江苏省盐城市解放南路中南城购物中心,2014-10-31
永辉,唐山市 遵化店,河北省遵化市文礼西街(华明北路口)开元国际,2014-10-30
永辉,南充市 嘉南路店,四川省南充市嘉陵区嘉南路三段1号金宇盛世天城,2014-10-28
永辉,南平市 邵武恒华店,福建省邵武市城南大道恒华财富天下,2014-10-28
永辉,成都市 汇龙湾店,四川省成都市金牛区沙湾路1号汇龙湾广场,2014-09-29
永辉,南岸区 茶园金科店,重庆市南岸区茶园新区金科世界城,2014-09-29
永辉,深圳市 深圳沙井店,广东省深圳市宝安区沙井街道西环路(新沙路),2014-09-27
永辉,成都市 时代天街店,四川省成都市高新区西部园区龙湖时代天街,2014-09-25
永辉,马鞍山市 马鞍山万达店,安徽省马鞍山市雨山区太白大道(钟山路口)万达广场,2014-09-19
