2017.11.16-11:19:41 ['沃尔玛(双溪路店)', '30.743935', '120.799446', '浙江省嘉兴市南湖区广益路辅路']
2017.11.16-11:19:41 ['沃尔玛(华庭店)', '30.771734', '120.759186', '浙江省嘉兴市南湖区勤俭路479号']
2017.11.16-11:19:42 ['沃尔玛(联合路店)', '30.526215', '120.690247', '浙江省嘉兴市海宁市联合路122号']
2017.11.16-11:19:42 ['沃尔玛超市(洪兴路店)', '30.768447', '120.715555', '浙江省嘉兴市秀洲区启蒙路']
2017.11.16-11:19:42 ['沃尔玛(桐乡振兴中路店)', '30.634628', '120.566276', '浙江省嘉兴市桐乡市润丰步行街1号']
2017.11.16-11:19:46 ['大润发(嘉兴店)', '30.765676', '120.720917', '浙江省嘉兴市秀洲区中山西路1001号']
2017.11.16-11:19:47 ['捷安特大润发广场店(大润发广场专卖店)', '30.765405', '120.720898', '浙江省嘉兴市秀洲区中山西路1001号']
2017.11.16-11:19:47 ['大润发(平湖店)', '30.707905', '121.023128', '浙江省嘉兴市平湖市县后底240号']
2017.11.16-11:19:47 ['大润发', '30.338093', '120.798458', '浙江省嘉兴市海宁市潮起路']
2017.11.16-11:19:48 ['大润发(海盐店)', '30.523266', '120.955954', '浙江省嘉兴市海盐县新桥北路127号']
2017.11.16-11:19:48 ['大润发(施家南路店)', '30.843685', '120.940479', '浙江省嘉兴市嘉善县罗星路546']
2017.11.16-11:19:49 ['大润发儿童乐园', '30.765787', '120.720341', '浙江省嘉兴市秀洲区吴越路155号']
2017.11.16-11:19:49 ['麦德龙(嘉兴经济开发区商场店)', '30.786664', '120.785143', '浙江省嘉兴市南湖区城东路']
2017.11.16-11:19:50 ['家乐福(三合店)', '30.480017', '120.04379', '浙江省湖州市德清县下仁线']
2017.11.16-11:19:50 ['家乐福超市', '30.688193', '120.112334', '浙江省湖州市吴兴区普安路58号']
2017.11.16-11:19:51 ['家乐福副食店', '30.542074', '119.975588', '浙江省湖州市德清县吉祥街134-1号']
2017.11.16-11:19:51 ['家乐福鲜花水果', '31.014694', '119.916963', '浙江省湖州市长兴县滨河大道348']
2017.11.16-11:19:51 ['家乐福鲜花水果行', '31.01451', '119.917044', '浙江省湖州市长兴县滨河大道348']
2017.11.16-11:19:52 ['宝岛眼镜(深圳梅林家乐福店)', '30.552456', '120.093903', '浙江省湖州市德清县直街29-33号']
2017.11.16-11:19:53 ['沃尔玛(金城广场店)', '30.870674', '120.1332', '浙江省湖州市吴兴区新华路956号']
2017.11.16-11:19:53 ['沃尔玛(德清永安街店)', '30.541128', '119.974444', '浙江省湖州市德清县永安街158号']
2017.11.16-11:19:53 ['沃尔玛(二环东路分店)', '30.870662', '120.133206', '浙江省湖州市吴兴区新华路956号']
2017.11.16-11:19:54 ['大润发(湖州店)', '30.879715', '120.100135', '浙江省湖州市吴兴区滨河路411号']
2017.11.16-11:19:57 ['大润发(长兴店)', '31.004473', '119.91664', '浙江省湖州市长兴县长海路286']
2017.11.16-11:19:58 ['大润发水果卖场', '30.871666', '120.412269', '浙江省湖州市南浔区中和路269号']
2017.11.16-11:19:58 ['通城大润发', '30.910305', '119.665075', '浙江省湖州市长兴县泗安大道']
2017.11.16-11:19:58 ['飞牛大润发', '30.543587', '120.000677', '浙江省湖州市德清县武源街959号']
2017.11.16-11:19:59 ['大润发(新市店)', '30.620907', '120.291709', '浙江省湖州市德清县仙潭路109']
2017.11.16-11:19:59 ['汇海大润发超市', '30.873097', '120.265017', '浙江省湖州市吴兴区成织北路129号']
2017.11.16-11:20:00 ['大润发水果大卖场', '30.871684', '120.412263', '浙江省湖州市南浔区中和路269号']
2017.11.16-11:20:00 ['大润发(吴江夹浦购物广场)', '31.092924', '119.946148', '浙江省湖州市长兴县G104(京福线)']
2017.11.16-11:20:01 ['家乐福(袍江店)', '30.079375', '120.666127', '浙江省绍兴市越城区海南路66号']
2017.11.16-11:20:02 ['沃尔玛(柯桥笛扬路分店)', '30.092036', '120.497686', '浙江省绍兴市绍兴县笛扬路1396']
2017.11.16-11:20:03 ['大润发(袍江店)', '30.086297', '120.611975', '浙江省绍兴市越城区菖蒲路']
2017.11.16-11:20:03 ['大润发(诸暨店)', '29.708336', '120.260473', '浙江省绍兴市诸暨市苎萝东路195号']
2017.11.16-11:20:03 ['大润发', '29.999159', '120.526174', '浙江省绍兴市绍兴县杨绍线']
2017.11.16-11:20:04 ['大润发(上虞店)', '30.040017', '120.884703', '浙江省绍兴市上虞市春华路1号']
2017.11.16-11:20:04 ['大润发', '30.226438', '120.714106', '浙江省绍兴市绍兴县兴滨路']
2017.11.16-11:20:04 ['大润发购物广场', '29.806152', '120.436934', '浙江省绍兴市诸暨市尚义路']
2017.11.16-11:20:05 ['大润发(大唐店)', '29.701423', '120.165538', '浙江省绍兴市诸暨市永新路249-、251-、253号']
2017.11.16-11:20:05 ['麦德龙(绍兴商场)', '30.033715', '120.560657', '浙江省绍兴市越城区G104(二环北路)']
2017.11.16-11:20:06 ['家乐福', '29.309225', '120.212083', '浙江省金华市东阳市湖莲西街']
2017.11.16-11:20:09 ['家乐福(北镇街)', '29.064492', '120.449042', '浙江省金华市磐安县北镇街42号']
