销售额,利润(万元),利润率,市,区县,公司简称,全称,,,,,,
310217 ,56398 ,18.2%,杭州市,江干区,巨星科技,杭州巨星科技股份有限公司,耐用消费品,巨星科技(002444),浙江省杭州市江干区九环路35号,浙江省杭州市江干区九环路35号,www.greatstartools.com,2010/7/13
98633 ,56285 ,57.1%,杭州市,余杭区,同花顺,浙江核新同花顺网络信息股份有限公司,软件,同花顺(300033),浙江省杭州市余杭区同顺街18号,浙江省杭州市余杭区同顺街18号,www.10jqka.com.cn,2009/12/25
351002 ,55681 ,15.9%,台州市,临海市,华海药业,浙江华海药业股份有限公司,制药,华海药业(600521),浙江省临海市汛桥,浙江省临海市汛桥,www.huahaipharm.com,2003/3/4
391165 ,54889 ,14.0%,嘉兴市,平湖市,景兴纸业,浙江景兴纸业股份有限公司,造纸,景兴纸业(002067),浙江省平湖市曹桥镇,浙江省平湖市曹桥镇,www.jxpaper.com.cn,2006/9/15
747612 ,53965 ,7.2%,宁波市,宁海县梅林街道塔山工业园区,东方日升,东方日升新能源股份有限公司,电子电气组件与设备,东方日升(300118),浙江省宁波市宁海县梅林街道塔山工业园区,浙江省宁波市宁海县梅林街道塔山工业园区,www.risenenergy.com,2010/9/2
253224 ,53495 ,21.1%,杭州市,萧山区,航民股份,浙江航民股份有限公司,服装与服饰,航民股份(600987),浙江省杭州市萧山区瓜沥镇航民村,浙江省杭州市萧山区瓜沥镇航民村,www.hmgf.com,2004/8/9
664368 ,53125 ,8.0%,宁波市,望春工业园区,杉杉股份,宁波杉杉股份有限公司,电子电气组件与设备,杉杉股份(600884),浙江省宁波市鄞州区日丽中路777号杉杉大厦808室,浙江省宁波市望春工业园区云林中路218号,www.ssgf.net,1996/1/30
257340 ,51670 ,20.1%,杭州市,余杭区,中金环境,南方中金环境股份有限公司,工业机械,中金环境(300145),浙江省杭州市余杭区仁和街道仁河大道46号,浙江省杭州余杭区仁和镇,www.nanfang-pump.com,2010/12/9
346914 ,50026 ,14.4%,宁波市,鄞州工业园区,三星医疗,宁波三星医疗电气股份有限公司,工业机械,三星医疗(601567),浙江省宁波市鄞州工业园区（宁波市鄞州区姜山镇）,浙江省宁波市鄞州工业园区（宁波市鄞州区姜山镇）,www.sanxing.com,2011/6/15
119223 ,49191 ,41.3%,杭州市,西湖区,顺网科技,杭州顺网科技股份有限公司,计算机服务,顺网科技(300113),浙江省杭州市西湖区文一西路75号3号楼,浙江省杭州市西湖区文一西路857号杭州智慧产业创业园A座,www.shunwang.com,2010/8/27
435671 ,47495 ,10.9%,金华市,东阳市横店工业区,横店东磁,横店集团东磁股份有限公司,电子电气组件与设备,横店东磁(002056),浙江省东阳市横店工业区,浙江省东阳市横店工业区,www.chinadmegc.com,2006/8/2
225244 ,46794 ,20.8%,杭州市,滨江区,华数传媒,华数传媒控股股份有限公司,广播与娱乐,华数传媒(000156),浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,浙江省杭州市滨江区长江路79号华数白马湖数字电视产业园B座,--,2000/9/6
516821 ,46444 ,9.0%,杭州市,临安市,杭叉集团,杭叉集团股份有限公司,工业机械,杭叉集团(603298),浙江省临安经济开发区东环路88号,浙江省临安经济开发区东环路88号,www.zjhc.cn,2016/12/27
206053 ,46271 ,22.5%,杭州市,莫干山路1418号（上城工业园区,海兴电力,杭州海兴电力科技股份有限公司,电力（III）,海兴电力(603556),浙江省杭州市莫干山路1418号（上城工业园区）,浙江省杭州市莫干山路1418号（上城工业园区）,www.hxgroup.co,2016/11/10
367553 ,43295 ,11.8%,杭州市,西湖区,迪安诊断,浙江迪安诊断技术股份有限公司,医疗保健服务,迪安诊断(300244),浙江省杭州市西湖区金蓬街329号2幢5层,浙江省杭州市西湖科技园金蓬街329号,www.dazd.cn,2011/7/19
156662 ,43288 ,27.6%,宁波市,江北区,爱柯迪,爱柯迪股份有限公司,汽车与零配件（II）,爱柯迪(600933),浙江省宁波市江北区金山路588号,浙江省宁波市江北区金山路588号,www.ikd-china.com,2017/11/17
72244 ,42753 ,59.2%,温州市,鹿城区,伟明环保,浙江伟明环保股份有限公司,废物处理与回收服务,伟明环保(603568),浙江省温州市瓯海开发区梧慈路517号,浙江省温州市市府路525号同人恒玖大厦16楼,www.cnweiming.com,2015/5/28
339922 ,42636 ,12.5%,杭州市,临安市,福斯特,杭州福斯特应用材料股份有限公司,通用化工品,福斯特(603806),浙江省临安市锦北街道福斯特街8号,浙江省临安市锦北街道保锦路,www.firstpvm.com,2014/9/5
456503 ,40509 ,8.9%,宁波市,鄞州区,百隆东方,百隆东方股份有限公司,服装与服饰,百隆东方(601339),浙江省宁波市镇海区骆驼街道南二东路1号,浙江省宁波市鄞州区甬江大道188号宁波财富中心8楼,www.broseastern.com,2012/6/12
270560 ,39154 ,14.5%,杭州市,江干区,杭锅股份,杭州锅炉集团股份有限公司,工业机械,杭锅股份(002534),浙江省杭州市江干区大农港路1216号,浙江省杭州市江干区大农港路1216号,www.chinaboilers.com,2011/1/10
196620 ,38575 ,19.6%,金华市,婺城区,尖峰集团,浙江尖峰集团股份有限公司,建材与构件,尖峰集团(600668),浙江省金华市婺江东路88号,浙江省金华市婺江东路88号,www.jianfeng.com.cn,1993/7/28
197096 ,37913 ,19.2%,杭州市,临安市玲珑工业区,帝龙文化,浙江帝龙文化发展股份有限公司,造纸,帝龙文化(002247),浙江省临安市玲珑街道玲珑工业区环南路1958号,浙江省临安市玲珑工业区环南路1958号,www.dilong.cc,2008/6/12
64096 ,37605 ,58.7%,绍兴市,柯桥区,轻纺城,浙江中国轻纺城集团股份有限公司,商业辅助服务,轻纺城(600790),浙江省绍兴市柯桥区柯桥街道鉴湖路1号中轻大厦,浙江省绍兴市柯桥区柯桥街道鉴湖路1号中轻大厦,www.qfcgroup.com,1997/2/28
191323 ,37219 ,19.5%,杭州市,萧山区,吉华集团,浙江吉华集团股份有限公司,化工品（II）,吉华集团(603980),浙江省杭州市萧山区临江工业园新世纪大道1766号,浙江省杭州市萧山区临江工业园新世纪大道1766号,www.jihuadyes.com,2017/6/15
193636 ,36901 ,19.1%,金华市,东阳市横店镇横店影视产业实验区,横店影视,横店影视股份有限公司,广播与娱乐,横店影视(603103),浙江省东阳市横店镇横店影视产业实验区商务楼,浙江省东阳市横店镇横店影视产业实验区商务楼,www.hengdianfilm.com,2017/10/12
185526 ,36728 ,19.8%,台州市,临海市花园工业区,伟星股份,浙江伟星实业发展股份有限公司,服装与服饰,伟星股份(002003),浙江省临海市花园工业区,浙江省临海市花园工业区,www.weixing.cn,2004/6/25
368922 ,36665 ,9.9%,绍兴市,上虞区,阳光照明,浙江阳光照明电器集团股份有限公司,耐用消费品,阳光照明(600261),浙江省绍兴市上虞区凤山路485号,浙江省绍兴市上虞区凤山路485号,www.yankon.com,2000/7/20
623984 ,35912 ,5.8%,杭州市,西湖区,亚厦股份,浙江亚厦装饰股份有限公司,建筑施工,亚厦股份(002375),浙江省上虞市章镇工业新区,浙江省杭州市西湖区沙秀路99号亚厦中心A座,www.chinayasha.com,2010/3/23
249432 ,35579 ,14.3%,温州市,乐清市,金龙机电,金龙机电股份有限公司,电子电气组件与设备,金龙机电(300032),浙江省乐清市北白象镇进港大道边金龙科技园,浙江省温州市乐清市北白象镇进港大道边金龙科技园,www.kotl.com.cn,2009/12/25
